CETCode,College,Location1,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E001,University_Visveswariah_College_of_Engineering,KR_Circle,Bengaluru,CE,32617,0,33980,33564,38789,37186,42600,0,47534,21850,0,28547,26863,0,31826,20856,24818,26485,40245,47956,53038,37947,0,0
E001,University_Visveswariah_College_of_Engineering,KR_Circle,Bengaluru,CS,7032,0,13014,7113,7383,9068,7484,0,0,4922,0,6454,3719,0,0,3392,3481,5739,15666,37041,29121,9692,0,0
E001,University_Visveswariah_College_of_Engineering,KR_Circle,Bengaluru,EC,11404,0,0,9254,0,12319,9546,10462,0,7167,0,0,7401,0,0,5679,8595,9854,16090,0,24851,8554,0,15216
E001,University_Visveswariah_College_of_Engineering,KR_Circle,Bengaluru,EE,17810,0,0,21729,25456,33634,13579,0,0,11311,0,0,13926,0,20377,11015,19791,15491,28846,32980,37275,22626,0,0
E001,University_Visveswariah_College_of_Engineering,KR_Circle,Bengaluru,IE,13038,0,0,8203,0,14670,14525,0,0,5604,9832,0,6041,0,0,5544,6873,9261,26960,0,37577,10122,0,30432
E001,University_Visveswariah_College_of_Engineering,KR_Circle,Bengaluru,ME,24164,70196,38960,25253,0,41270,28802,0,91220,20433,0,0,24035,25190,38983,17018,21862,22031,36185,0,47592,23647,0,0
E002,SKSJT_Institute_of_Engineering,Sampangi_Rama_Nagar,Bengaluru,CE,44299,0,44785,46365,0,47028,66538,0,0,43822,0,0,43605,0,45077,38625,41750,44317,58456,62879,63241,57850,0,0
E002,SKSJT_Institute_of_Engineering,Sampangi_Rama_Nagar,Bengaluru,CS,23453,0,0,24717,43478,30288,21411,0,60520,19789,0,21462,17839,0,0,17731,19021,20228,39646,0,44960,18766,0,0
E002,SKSJT_Institute_of_Engineering,Sampangi_Rama_Nagar,Bengaluru,EC,40088,0,0,35287,41900,39173,38443,0,0,23746,0,0,25405,0,0,22924,26345,26577,53944,88050,59903,30494,0,93371
E002,SKSJT_Institute_of_Engineering,Sampangi_Rama_Nagar,Bengaluru,ST,86016,0,0,85044,0,99669,0,0,0,0,0,0,80503,0,0,67594,71458,75481,91641,0,0,77793,0,0
E002,SKSJT_Institute_of_Engineering,Sampangi_Rama_Nagar,Bengaluru,TX,89835,0,0,110056,0,136368,90280,,0,72576,0,0,94539,136880,0,71367,0,92766,119521,0,125306,0,0,0
E003,BMS_College_of_Engineering_(Aided),Basavanagudi,Bengaluru,CE,33282,0,48014,21115,0,35119,27066,0,0,12778,0,0,15961,0,20488,12756,15069,20418,25741,45643,59758,17941,0,0
E003,BMS_College_of_Engineering_(Aided),Basavanagudi,Bengaluru,EC,5961,0,0,3066,7360,7120,2516,0,20838,2280,0,0,3060,0,5471,1788,3129,2301,15638,0,18995,8488,0,0
E003,BMS_College_of_Engineering_(Aided),Basavanagudi,Bengaluru,EE,9356,0,0,10867,0,14242,11692,0,0,7285,0,11400,7824,17975,0,5138,10504,10655,34739,0,38860,23434,0,0
E003,BMS_College_of_Engineering_(Aided),Basavanagudi,Bengaluru,IM,50704,0,0,42552,0,47198,95319,0,0,34349,0,0,43626,0,0,25599,33551,36176,104851,0,112370,88763,0,0
E003,BMS_College_of_Engineering_(Aided),Basavanagudi,Bengaluru,ME,19956,0,0,18158,0,20997,45103,0,0,11046,22385,23062,7156,0,15627,5535,18660,9774,30365,0,58454,28603,0,0
E004,Dr._Ambedkar_Institute_Of_Technology_(Aided),Near_Gnana_Bharathi,Bengaluru,CE,52857,0,59432,53600,55396,55563,61920,0,0,36868,0,0,46966,0,51394,35355,44069,45500,60228,63863,69318,47365,0,0
E004,Dr._Ambedkar_Institute_Of_Technology_(Aided),Near_Gnana_Bharathi,Bengaluru,CS,11596,0,14720,14093,23924,16257,13548,0,0,10927,0,0,11926,0,14255,9427,11836,12032,35306,36662,54624,16580,0,0
E004,Dr._Ambedkar_Institute_Of_Technology_(Aided),Near_Gnana_Bharathi,Bengaluru,EC,22931,0,27895,21725,29586,27711,26722,0,49976,14717,0,0,16801,0,18242,14356,18374,16207,45370,46206,60098,32232,0,0
E004,Dr._Ambedkar_Institute_Of_Technology_(Aided),Near_Gnana_Bharathi,Bengaluru,EE,30664,0,0,38071,0,39720,26628,0,115949,25661,0,0,28261,29222,37660,24684,27048,28397,59124,0,82278,46505,0,0
E004,Dr._Ambedkar_Institute_Of_Technology_(Aided),Near_Gnana_Bharathi,Bengaluru,EI,78852,105690,0,71619,0,85211,0,0,0,63396,0,101507,80368,0,0,46893,70271,78192,139381,0,0,53200,0,0
E004,Dr._Ambedkar_Institute_Of_Technology_(Aided),Near_Gnana_Bharathi,Bengaluru,IM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139418,0,0,0,0,0,0,0,0
E004,Dr._Ambedkar_Institute_Of_Technology_(Aided),Near_Gnana_Bharathi,Bengaluru,ME,61449,0,0,99315,0,136051,87978,0,0,42718,0,48749,54582,0,57351,39811,59799,47912,91473,109107,100041,61961,0,0
E004,Dr._Ambedkar_Institute_Of_Technology_(Aided),Near_Gnana_Bharathi,Bengaluru,TC,58277,0,0,69308,0,133890,68731,0,0,51708,0,59912,46006,0,0,39520,80625,51646,128374,0,0,81963,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,BT,11044,0,0,12415,0,38299,12371,0,0,11518,0,0,9211,0,0,5607,0,26380,36895,0,71301,0,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,CE,11158,0,0,15755,19533,18464,11264,0,0,8879,0,16651,11551,0,0,8037,8563,12250,19356,0,24599,13388,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,CH,0,0,0,16261,0,0,0,0,0,0,0,0,17145,0,0,2557,11363,6754,37382,0,0,67726,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,CS,964,0,1770,734,4041,1236,798,0,2980,728,0,0,307,0,787,230,1195,732,3385,5689,12999,5815,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,EC,1640,0,4594,2077,7700,2988,1564,0,0,1505,0,0,2044,0,3503,710,1784,1369,11485,32868,25461,3071,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,EE,0,0,0,5955,0,0,4725,0,0,2912,0,0,5393,0,0,2367,9441,5140,7551,0,0,10217,0,10619
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,EI,14421,0,0,14978,0,20763,12569,0,0,5982,0,0,6756,27389,0,5850,0,17227,51601,0,57946,0,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,IE,1703,11540,0,2165,0,0,2228,0,0,1274,0,4426,1506,0,0,522,0,2170,16916,0,0,0,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,IM,62875,0,0,35792,0,63300,22105,0,0,16421,0,0,25886,0,0,16026,44787,26756,96568,0,0,0,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,ME,4337,0,0,6684,0,8109,8035,22697,15969,7207,0,0,3226,0,6453,3032,17789,5577,13404,0,15368,15813,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,SE,3327,0,0,3396,0,20144,12097,0,0,1494,0,0,0,0,0,1339,3354,3033,12608,0,33231,6721,0,0
E005,RV_College_of_Engineering,Mysuru_Rd,Bengaluru,TC,15929,0,0,8997,0,0,9214,0,0,10013,16947,14129,7807,0,0,6021,10629,7527,38218,0,0,0,0,0
